method	final_rank	selected_rank	source_rank	config	adp_score	auc	ap	recall	precision	percent_detected_attacks	discrimination	tp	fp	tn	fn	best_val_loss	test_loss	best_epoch	test_epoch	duration_min	epochs	source_r3_adp_score	checkpoint_saved	checkpoint_path	window	lr	weight_decay	node_hid_dim	node_out_dim	emb_dim	tgn_memory_dim	tgn_time_dim	batch_size	neighbor_size	mask_rate	capacity	training_seed	featurization_seed	extra_overrides	result_file
velox	1	2	2	c167_lr0p001_wd0_dim64_emb128_batch2048_seed0	0.718	0.77319	0.51428	0	0	0	-0.5336	0	0	363888	75557	0.3489	0.5974	9	11	40.875	12	0.775	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/velox_recap_raw_100/final_e12_checkpoints/c167_lr0p001_wd0_dim64_emb128_batch2048_seed0.pt		0.001	0	64	64	128			2048				0	0		meluxina/pidsmaker/asha_runs/velox_recap_raw_100/final_e12/final_c167_lr0p001_wd0_dim64_emb128_batch2048_seed0.json
velox	2	1	1	c095_lr0p0003_wd0_dim128_emb128_batch2048_seed0	0.689	0.77382	0.56542	0	0	0	-0.4957	0	0	363888	75557	0.3327	0.551	11	11	42.825	12	0.801	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/velox_recap_raw_100/final_e12_checkpoints/c095_lr0p0003_wd0_dim128_emb128_batch2048_seed0.pt		0.0003	0	128	128	128			2048				0	0		meluxina/pidsmaker/asha_runs/velox_recap_raw_100/final_e12/final_c095_lr0p0003_wd0_dim128_emb128_batch2048_seed0.json
velox	3	3	3	c003_lr0p0001_wd0_dim64_emb64_batch2048_seed0	0.635	0.75679	0.4492	0.00025	0.2375	0.48	-0.1158	19	61	363827	75538	0.4098	0.415	11	11	40.018333	12	0.736	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/velox_recap_raw_100/final_e12_checkpoints/c003_lr0p0001_wd0_dim64_emb64_batch2048_seed0.pt		0.0001	0	64	64	64			2048				0	0		meluxina/pidsmaker/asha_runs/velox_recap_raw_100/final_e12/final_c003_lr0p0001_wd0_dim64_emb64_batch2048_seed0.json
magic	1	1	1	c209_win4m_lr0p001_wd0p001_dim32_mask0p7_seed0	0.813	0.64738	0.52091	0.56507	0.22759	1	-0.1814	42695	144902	218986	32862	0	0	0	11	30.573333	12	0.839	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/magic_recap_raw_100/final_e12_checkpoints/c209_win4m_lr0p001_wd0p001_dim32_mask0p7_seed0.pt	4m	0.001	0.001	32	32						0.7		0	0		meluxina/pidsmaker/asha_runs/magic_recap_raw_100/final_e12/final_c209_win4m_lr0p001_wd0p001_dim32_mask0p7_seed0.json
magic	2	3	3	c207_win4m_lr0p001_wd0p001_dim32_mask0p3_seed0	0.726	0.64766	0.48606	0.61502	0.18975	1	-0.2142	46469	198427	165461	29088	0	0	0	11	30.201667	12	0.77	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/magic_recap_raw_100/final_e12_checkpoints/c207_win4m_lr0p001_wd0p001_dim32_mask0p3_seed0.pt	4m	0.001	0.001	32	32						0.3		0	0		meluxina/pidsmaker/asha_runs/magic_recap_raw_100/final_e12/final_c207_win4m_lr0p001_wd0p001_dim32_mask0p3_seed0.json
magic	3	2	2	c195_win4m_lr0p001_wd0p0001_dim128_mask0p3_seed0	0.679	0.66323	0.56761	0.59546	0.20582	1	-0.2315	44991	173607	190281	30566	0	0	0	11	37.51	12	0.818	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/magic_recap_raw_100/final_e12_checkpoints/c195_win4m_lr0p001_wd0p0001_dim128_mask0p3_seed0.pt	4m	0.001	0.0001	128	128						0.3		0	0		meluxina/pidsmaker/asha_runs/magic_recap_raw_100/final_e12/final_c195_win4m_lr0p001_wd0p0001_dim128_mask0p3_seed0.json
orthrus	1	2	2	c233_lr0p0001_wd1em05_capmedium_batch2048_neigh50_seed0	0.778	0.60934	0.36535	0.00008	1	0.05	-0.0572	6	0	363888	75551	0.8849	0.8707	11	11	84.183333	12	0.764	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/orthrus_recap_raw_100/final_e12_checkpoints/c233_lr0p0001_wd1em05_capmedium_batch2048_neigh50_seed0.pt		0.0001	1e-05		128	128			2048	50		medium	0	0		meluxina/pidsmaker/asha_runs/orthrus_recap_raw_100/final_e12/final_c233_lr0p0001_wd1em05_capmedium_batch2048_neigh50_seed0.json
orthrus	2	1	1	c179_lr0p0001_wd0_capmedium_batch2048_neigh50_seed0	0.733	0.59719	0.35282	0.00011	1	0.1	-0.0735	8	0	363888	75549	0.8854	0.8626	7	11	84.635	12	0.774	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/orthrus_recap_raw_100/final_e12_checkpoints/c179_lr0p0001_wd0_capmedium_batch2048_neigh50_seed0.pt		0.0001	0		128	128			2048	50		medium	0	0		meluxina/pidsmaker/asha_runs/orthrus_recap_raw_100/final_e12/final_c179_lr0p0001_wd0_capmedium_batch2048_neigh50_seed0.json
orthrus	3	3	3	c206_lr0p0001_wd1em06_capmedium_batch2048_neigh50_seed0	0.725	0.59583	0.3458	0.00008	1	0.05	-0.0569	6	0	363888	75551	0.8853	0.8656	7	11	78.943333	12	0.73	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/orthrus_recap_raw_100/final_e12_checkpoints/c206_lr0p0001_wd1em06_capmedium_batch2048_neigh50_seed0.pt		0.0001	1e-06		128	128			2048	50		medium	0	0		meluxina/pidsmaker/asha_runs/orthrus_recap_raw_100/final_e12/final_c206_lr0p0001_wd1em06_capmedium_batch2048_neigh50_seed0.json
kairos	1	1	1	c001_lr2em05_wd0p001_capsmall_batch512_neigh10_seed0	0.654	0.62363	0.3337	0	0	0	-0.0669	0	0	363888	75557	1.0103	0.9864	11	11	190.421667	12	0.837	True	/mnt/tier2/project/p201223/pidsmaker-across-capture-tools/meluxina/pidsmaker/asha_runs/kairos_recap_raw_100/final_e12_checkpoints/c001_lr2em05_wd0p001_capsmall_batch512_neigh10_seed0.pt		2e-05	0.001	64	64		64	64	512	10		small	0	0		meluxina/pidsmaker/asha_runs/kairos_recap_raw_100/final_e12/final_c001_lr2em05_wd0p001_capsmall_batch512_neigh10_seed0.json
