PIDSMaker final e12 results
Repo/storage path: /mnt/tier2/project/p201223/pidsmaker-across-capture-tools
Rows are final fresh 12-epoch runs. source_rank/source_adp refer to the r3_e9 HPO result that selected the final run.

method  | final_rank | selected_rank | source_rank | config                                                  | adp   | auc   | ap    | recall | precision | attack_pct | disc   | tp    | fp     | tn     | fn    | best_val_loss | test_loss | best_epoch | test_epoch | duration_min | epochs | source_adp | ckpt | window | lr     | weight_decay | hid | out | emb | mem | time | batch | neigh | mask | cap    | train_seed | feat_seed | extra_overrides
--------+------------+---------------+-------------+---------------------------------------------------------+-------+-------+-------+--------+-----------+------------+--------+-------+--------+--------+-------+---------------+-----------+------------+------------+--------------+--------+------------+------+--------+--------+--------------+-----+-----+-----+-----+------+-------+-------+------+--------+------------+-----------+----------------
velox   | 1          | 2             | 2           | c167_lr0p001_wd0_dim64_emb128_batch2048_seed0           | 0.718 | 0.773 | 0.514 | 0      | 0         | 0          | -0.534 | 0     | 0      | 363888 | 75557 | 0.3489        | 0.5974    | 9          | 11         | 40.9         | 12     | 0.775      | yes  | -      | 0.001  | 0            | 64  | 64  | 128 | -   | -    | 2048  | -     | -    | -      | 0          | 0         | -
velox   | 2          | 1             | 1           | c095_lr0p0003_wd0_dim128_emb128_batch2048_seed0         | 0.689 | 0.774 | 0.565 | 0      | 0         | 0          | -0.496 | 0     | 0      | 363888 | 75557 | 0.3327        | 0.551     | 11         | 11         | 42.8         | 12     | 0.801      | yes  | -      | 0.0003 | 0            | 128 | 128 | 128 | -   | -    | 2048  | -     | -    | -      | 0          | 0         | -
velox   | 3          | 3             | 3           | c003_lr0p0001_wd0_dim64_emb64_batch2048_seed0           | 0.635 | 0.757 | 0.449 | 0.0003 | 0.2375    | 0.48       | -0.116 | 19    | 61     | 363827 | 75538 | 0.4098        | 0.415     | 11         | 11         | 40           | 12     | 0.736      | yes  | -      | 0.0001 | 0            | 64  | 64  | 64  | -   | -    | 2048  | -     | -    | -      | 0          | 0         | -
magic   | 1          | 1             | 1           | c209_win4m_lr0p001_wd0p001_dim32_mask0p7_seed0          | 0.813 | 0.647 | 0.521 | 0.5651 | 0.2276    | 1          | -0.181 | 42695 | 144902 | 218986 | 32862 | 0             | 0         | 0          | 11         | 30.6         | 12     | 0.839      | yes  | 4m     | 0.001  | 0.001        | 32  | 32  | -   | -   | -    | -     | -     | 0.7  | -      | 0          | 0         | -
magic   | 2          | 3             | 3           | c207_win4m_lr0p001_wd0p001_dim32_mask0p3_seed0          | 0.726 | 0.648 | 0.486 | 0.615  | 0.1898    | 1          | -0.214 | 46469 | 198427 | 165461 | 29088 | 0             | 0         | 0          | 11         | 30.2         | 12     | 0.77       | yes  | 4m     | 0.001  | 0.001        | 32  | 32  | -   | -   | -    | -     | -     | 0.3  | -      | 0          | 0         | -
magic   | 3          | 2             | 2           | c195_win4m_lr0p001_wd0p0001_dim128_mask0p3_seed0        | 0.679 | 0.663 | 0.568 | 0.5955 | 0.2058    | 1          | -0.232 | 44991 | 173607 | 190281 | 30566 | 0             | 0         | 0          | 11         | 37.5         | 12     | 0.818      | yes  | 4m     | 0.001  | 0.0001       | 128 | 128 | -   | -   | -    | -     | -     | 0.3  | -      | 0          | 0         | -
orthrus | 1          | 2             | 2           | c233_lr0p0001_wd1em05_capmedium_batch2048_neigh50_seed0 | 0.778 | 0.609 | 0.365 | 0.0001 | 1         | 0.05       | -0.057 | 6     | 0      | 363888 | 75551 | 0.8849        | 0.8707    | 11         | 11         | 84.2         | 12     | 0.764      | yes  | -      | 0.0001 | 1e-05        | -   | 128 | 128 | -   | -    | 2048  | 50    | -    | medium | 0          | 0         | -
orthrus | 2          | 1             | 1           | c179_lr0p0001_wd0_capmedium_batch2048_neigh50_seed0     | 0.733 | 0.597 | 0.353 | 0.0001 | 1         | 0.1        | -0.073 | 8     | 0      | 363888 | 75549 | 0.8854        | 0.8626    | 7          | 11         | 84.6         | 12     | 0.774      | yes  | -      | 0.0001 | 0            | -   | 128 | 128 | -   | -    | 2048  | 50    | -    | medium | 0          | 0         | -
orthrus | 3          | 3             | 3           | c206_lr0p0001_wd1em06_capmedium_batch2048_neigh50_seed0 | 0.725 | 0.596 | 0.346 | 0.0001 | 1         | 0.05       | -0.057 | 6     | 0      | 363888 | 75551 | 0.8853        | 0.8656    | 7          | 11         | 78.9         | 12     | 0.73       | yes  | -      | 0.0001 | 1e-06        | -   | 128 | 128 | -   | -    | 2048  | 50    | -    | medium | 0          | 0         | -
kairos  | 1          | 1             | 1           | c001_lr2em05_wd0p001_capsmall_batch512_neigh10_seed0    | 0.654 | 0.624 | 0.334 | 0      | 0         | 0          | -0.067 | 0     | 0      | 363888 | 75557 | 1.0103        | 0.9864    | 11         | 11         | 190.4        | 12     | 0.837      | yes  | -      | 2e-05  | 0.001        | 64  | 64  | -   | 64  | 64   | 512   | 10    | -    | small  | 0          | 0         | -
kairos  | 2          | 2             | 2           | c002_lr2em05_wd0p001_capsmall_batch512_neigh20_seed0    | 0.642 | 0.639 | 0.338 | 0      | 0         | 0          | -0.094 | 0     | 26     | 363862 | 75557 | 1.0012        | 0.9835    | 11         | 11         | 204          | 12     | 0.834      | yes  | -      | 2e-05  | 0.001        | 64  | 64  | -   | 64  | 64   | 512   | 20    | -    | small  | 0          | 0         | -
kairos  | 3          | 3             | 3           | c103_lr5em05_wd0p001_caplarge_batch1024_neigh10_seed0   | 0.616 | 0.596 | 0.323 | 0      | 0         | 0          | -0.075 | 0     | 0      | 363888 | 75557 | 1.0214        | 1.0202    | 11         | 11         | 156          | 12     | 0.817      | yes  | -      | 5e-05  | 0.001        | 128 | 128 | -   | 128 | 128  | 1024  | 10    | -    | large  | 0          | 0         | -
