index,name,win,lr,wd,dim,mask
0,c000_win1m_lr0p001_wd0p0005_dim64_mask0p5_seed0,1m,0.001,0.0005,64,0.5
1,c001_win1m_lr0p0003_wd0p0001_dim32_mask0p3_seed0,1m,0.0003,0.0001,32,0.3
2,c002_win1m_lr0p0003_wd0p0001_dim32_mask0p5_seed0,1m,0.0003,0.0001,32,0.5
3,c003_win1m_lr0p0003_wd0p0001_dim32_mask0p7_seed0,1m,0.0003,0.0001,32,0.7
4,c004_win1m_lr0p0003_wd0p0001_dim64_mask0p3_seed0,1m,0.0003,0.0001,64,0.3
5,c005_win1m_lr0p0003_wd0p0001_dim64_mask0p5_seed0,1m,0.0003,0.0001,64,0.5
6,c006_win1m_lr0p0003_wd0p0001_dim64_mask0p7_seed0,1m,0.0003,0.0001,64,0.7
7,c007_win1m_lr0p0003_wd0p0001_dim128_mask0p3_seed0,1m,0.0003,0.0001,128,0.3
8,c008_win1m_lr0p0003_wd0p0001_dim128_mask0p5_seed0,1m,0.0003,0.0001,128,0.5
9,c009_win1m_lr0p0003_wd0p0001_dim128_mask0p7_seed0,1m,0.0003,0.0001,128,0.7
10,c010_win1m_lr0p0003_wd0p0005_dim32_mask0p3_seed0,1m,0.0003,0.0005,32,0.3
11,c011_win1m_lr0p0003_wd0p0005_dim32_mask0p5_seed0,1m,0.0003,0.0005,32,0.5
12,c012_win1m_lr0p0003_wd0p0005_dim32_mask0p7_seed0,1m,0.0003,0.0005,32,0.7
13,c013_win1m_lr0p0003_wd0p0005_dim64_mask0p3_seed0,1m,0.0003,0.0005,64,0.3
14,c014_win1m_lr0p0003_wd0p0005_dim64_mask0p5_seed0,1m,0.0003,0.0005,64,0.5
15,c015_win1m_lr0p0003_wd0p0005_dim64_mask0p7_seed0,1m,0.0003,0.0005,64,0.7
16,c016_win1m_lr0p0003_wd0p0005_dim128_mask0p3_seed0,1m,0.0003,0.0005,128,0.3
17,c017_win1m_lr0p0003_wd0p0005_dim128_mask0p5_seed0,1m,0.0003,0.0005,128,0.5
18,c018_win1m_lr0p0003_wd0p0005_dim128_mask0p7_seed0,1m,0.0003,0.0005,128,0.7
19,c019_win1m_lr0p0003_wd0p001_dim32_mask0p3_seed0,1m,0.0003,0.001,32,0.3
20,c020_win1m_lr0p0003_wd0p001_dim32_mask0p5_seed0,1m,0.0003,0.001,32,0.5
21,c021_win1m_lr0p0003_wd0p001_dim32_mask0p7_seed0,1m,0.0003,0.001,32,0.7
22,c022_win1m_lr0p0003_wd0p001_dim64_mask0p3_seed0,1m,0.0003,0.001,64,0.3
23,c023_win1m_lr0p0003_wd0p001_dim64_mask0p5_seed0,1m,0.0003,0.001,64,0.5
24,c024_win1m_lr0p0003_wd0p001_dim64_mask0p7_seed0,1m,0.0003,0.001,64,0.7
25,c025_win1m_lr0p0003_wd0p001_dim128_mask0p3_seed0,1m,0.0003,0.001,128,0.3
26,c026_win1m_lr0p0003_wd0p001_dim128_mask0p5_seed0,1m,0.0003,0.001,128,0.5
27,c027_win1m_lr0p0003_wd0p001_dim128_mask0p7_seed0,1m,0.0003,0.001,128,0.7
28,c028_win1m_lr0p001_wd0p0001_dim32_mask0p3_seed0,1m,0.001,0.0001,32,0.3
29,c029_win1m_lr0p001_wd0p0001_dim32_mask0p5_seed0,1m,0.001,0.0001,32,0.5
30,c030_win1m_lr0p001_wd0p0001_dim32_mask0p7_seed0,1m,0.001,0.0001,32,0.7
31,c031_win1m_lr0p001_wd0p0001_dim64_mask0p3_seed0,1m,0.001,0.0001,64,0.3
32,c032_win1m_lr0p001_wd0p0001_dim64_mask0p5_seed0,1m,0.001,0.0001,64,0.5
33,c033_win1m_lr0p001_wd0p0001_dim64_mask0p7_seed0,1m,0.001,0.0001,64,0.7
34,c034_win1m_lr0p001_wd0p0001_dim128_mask0p3_seed0,1m,0.001,0.0001,128,0.3
35,c035_win1m_lr0p001_wd0p0001_dim128_mask0p5_seed0,1m,0.001,0.0001,128,0.5
36,c036_win1m_lr0p001_wd0p0001_dim128_mask0p7_seed0,1m,0.001,0.0001,128,0.7
37,c037_win1m_lr0p001_wd0p0005_dim32_mask0p3_seed0,1m,0.001,0.0005,32,0.3
38,c038_win1m_lr0p001_wd0p0005_dim32_mask0p5_seed0,1m,0.001,0.0005,32,0.5
39,c039_win1m_lr0p001_wd0p0005_dim32_mask0p7_seed0,1m,0.001,0.0005,32,0.7
40,c040_win1m_lr0p001_wd0p0005_dim64_mask0p3_seed0,1m,0.001,0.0005,64,0.3
41,c041_win1m_lr0p001_wd0p0005_dim64_mask0p7_seed0,1m,0.001,0.0005,64,0.7
42,c042_win1m_lr0p001_wd0p0005_dim128_mask0p3_seed0,1m,0.001,0.0005,128,0.3
43,c043_win1m_lr0p001_wd0p0005_dim128_mask0p5_seed0,1m,0.001,0.0005,128,0.5
44,c044_win1m_lr0p001_wd0p0005_dim128_mask0p7_seed0,1m,0.001,0.0005,128,0.7
45,c045_win1m_lr0p001_wd0p001_dim32_mask0p3_seed0,1m,0.001,0.001,32,0.3
