index,name,lr,wd,cap,batch,neigh
0,c000_lr1em05_wd1em05_capdefault_batch1024_neigh20_seed0,1e-05,1e-05,default,1024,20
1,c001_lr1em05_wd0_capdefault_batch512_neigh10_seed0,1e-05,0.0,default,512,10
2,c002_lr1em05_wd0_capdefault_batch512_neigh20_seed0,1e-05,0.0,default,512,20
3,c003_lr1em05_wd0_capdefault_batch512_neigh50_seed0,1e-05,0.0,default,512,50
4,c004_lr1em05_wd0_capdefault_batch1024_neigh10_seed0,1e-05,0.0,default,1024,10
5,c005_lr1em05_wd0_capdefault_batch1024_neigh20_seed0,1e-05,0.0,default,1024,20
6,c006_lr1em05_wd0_capdefault_batch1024_neigh50_seed0,1e-05,0.0,default,1024,50
7,c007_lr1em05_wd0_capdefault_batch2048_neigh10_seed0,1e-05,0.0,default,2048,10
8,c008_lr1em05_wd0_capdefault_batch2048_neigh20_seed0,1e-05,0.0,default,2048,20
9,c009_lr1em05_wd0_capdefault_batch2048_neigh50_seed0,1e-05,0.0,default,2048,50
10,c010_lr1em05_wd0_capmedium_batch512_neigh10_seed0,1e-05,0.0,medium,512,10
11,c011_lr1em05_wd0_capmedium_batch512_neigh20_seed0,1e-05,0.0,medium,512,20
12,c012_lr1em05_wd0_capmedium_batch512_neigh50_seed0,1e-05,0.0,medium,512,50
13,c013_lr1em05_wd0_capmedium_batch1024_neigh10_seed0,1e-05,0.0,medium,1024,10
14,c014_lr1em05_wd0_capmedium_batch1024_neigh20_seed0,1e-05,0.0,medium,1024,20
15,c015_lr1em05_wd0_capmedium_batch1024_neigh50_seed0,1e-05,0.0,medium,1024,50
16,c016_lr1em05_wd0_capmedium_batch2048_neigh10_seed0,1e-05,0.0,medium,2048,10
17,c017_lr1em05_wd0_capmedium_batch2048_neigh20_seed0,1e-05,0.0,medium,2048,20
18,c018_lr1em05_wd0_capmedium_batch2048_neigh50_seed0,1e-05,0.0,medium,2048,50
19,c019_lr1em05_wd0_caplarge_batch512_neigh10_seed0,1e-05,0.0,large,512,10
20,c020_lr1em05_wd0_caplarge_batch512_neigh20_seed0,1e-05,0.0,large,512,20
