index,name,lr,wd,dim,emb,batch
0,c000_lr0p0001_wd1em05_dim128_emb128_batch1024_seed0,0.0001,1e-05,128,128,1024
1,c001_lr0p0001_wd0_dim64_emb64_batch512_seed0,0.0001,0.0,64,64,512
2,c002_lr0p0001_wd0_dim64_emb64_batch1024_seed0,0.0001,0.0,64,64,1024
3,c003_lr0p0001_wd0_dim64_emb64_batch2048_seed0,0.0001,0.0,64,64,2048
4,c004_lr0p0001_wd0_dim64_emb128_batch512_seed0,0.0001,0.0,64,128,512
5,c005_lr0p0001_wd0_dim64_emb128_batch1024_seed0,0.0001,0.0,64,128,1024
6,c006_lr0p0001_wd0_dim64_emb128_batch2048_seed0,0.0001,0.0,64,128,2048
7,c007_lr0p0001_wd0_dim64_emb256_batch512_seed0,0.0001,0.0,64,256,512
8,c008_lr0p0001_wd0_dim64_emb256_batch1024_seed0,0.0001,0.0,64,256,1024
9,c009_lr0p0001_wd0_dim64_emb256_batch2048_seed0,0.0001,0.0,64,256,2048
10,c010_lr0p0001_wd0_dim128_emb64_batch512_seed0,0.0001,0.0,128,64,512
11,c011_lr0p0001_wd0_dim128_emb64_batch1024_seed0,0.0001,0.0,128,64,1024
12,c012_lr0p0001_wd0_dim128_emb64_batch2048_seed0,0.0001,0.0,128,64,2048
13,c013_lr0p0001_wd0_dim128_emb128_batch512_seed0,0.0001,0.0,128,128,512
14,c014_lr0p0001_wd0_dim128_emb128_batch1024_seed0,0.0001,0.0,128,128,1024
15,c015_lr0p0001_wd0_dim128_emb128_batch2048_seed0,0.0001,0.0,128,128,2048
16,c016_lr0p0001_wd0_dim128_emb256_batch512_seed0,0.0001,0.0,128,256,512
17,c017_lr0p0001_wd0_dim128_emb256_batch1024_seed0,0.0001,0.0,128,256,1024
18,c018_lr0p0001_wd0_dim128_emb256_batch2048_seed0,0.0001,0.0,128,256,2048
19,c019_lr0p0001_wd0_dim256_emb64_batch512_seed0,0.0001,0.0,256,64,512
20,c020_lr0p0001_wd0_dim256_emb64_batch1024_seed0,0.0001,0.0,256,64,1024
21,c021_lr0p0001_wd0_dim256_emb64_batch2048_seed0,0.0001,0.0,256,64,2048
22,c022_lr0p0001_wd0_dim256_emb128_batch512_seed0,0.0001,0.0,256,128,512
23,c023_lr0p0001_wd0_dim256_emb128_batch1024_seed0,0.0001,0.0,256,128,1024
24,c024_lr0p0001_wd0_dim256_emb128_batch2048_seed0,0.0001,0.0,256,128,2048
25,c025_lr0p0001_wd0_dim256_emb256_batch512_seed0,0.0001,0.0,256,256,512
26,c026_lr0p0001_wd0_dim256_emb256_batch1024_seed0,0.0001,0.0,256,256,1024
27,c027_lr0p0001_wd0_dim256_emb256_batch2048_seed0,0.0001,0.0,256,256,2048
28,c028_lr0p0001_wd1em06_dim64_emb64_batch512_seed0,0.0001,1e-06,64,64,512
29,c029_lr0p0001_wd1em06_dim64_emb64_batch1024_seed0,0.0001,1e-06,64,64,1024
30,c030_lr0p0001_wd1em06_dim64_emb64_batch2048_seed0,0.0001,1e-06,64,64,2048
31,c031_lr0p0001_wd1em06_dim64_emb128_batch512_seed0,0.0001,1e-06,64,128,512
32,c032_lr0p0001_wd1em06_dim64_emb128_batch1024_seed0,0.0001,1e-06,64,128,1024
33,c033_lr0p0001_wd1em06_dim64_emb128_batch2048_seed0,0.0001,1e-06,64,128,2048
34,c034_lr0p0001_wd1em06_dim64_emb256_batch512_seed0,0.0001,1e-06,64,256,512
35,c035_lr0p0001_wd1em06_dim64_emb256_batch1024_seed0,0.0001,1e-06,64,256,1024
36,c036_lr0p0001_wd1em06_dim64_emb256_batch2048_seed0,0.0001,1e-06,64,256,2048
37,c037_lr0p0001_wd1em06_dim128_emb64_batch512_seed0,0.0001,1e-06,128,64,512
38,c038_lr0p0001_wd1em06_dim128_emb64_batch1024_seed0,0.0001,1e-06,128,64,1024
39,c039_lr0p0001_wd1em06_dim128_emb64_batch2048_seed0,0.0001,1e-06,128,64,2048
40,c040_lr0p0001_wd1em06_dim128_emb128_batch512_seed0,0.0001,1e-06,128,128,512
41,c041_lr0p0001_wd1em06_dim128_emb128_batch1024_seed0,0.0001,1e-06,128,128,1024
42,c042_lr0p0001_wd1em06_dim128_emb128_batch2048_seed0,0.0001,1e-06,128,128,2048
43,c043_lr0p0001_wd1em06_dim128_emb256_batch512_seed0,0.0001,1e-06,128,256,512
44,c044_lr0p0001_wd1em06_dim128_emb256_batch1024_seed0,0.0001,1e-06,128,256,1024
45,c045_lr0p0001_wd1em06_dim128_emb256_batch2048_seed0,0.0001,1e-06,128,256,2048
46,c046_lr0p0001_wd1em06_dim256_emb64_batch512_seed0,0.0001,1e-06,256,64,512
47,c047_lr0p0001_wd1em06_dim256_emb64_batch1024_seed0,0.0001,1e-06,256,64,1024
48,c048_lr0p0001_wd1em06_dim256_emb64_batch2048_seed0,0.0001,1e-06,256,64,2048
49,c049_lr0p0001_wd1em06_dim256_emb128_batch512_seed0,0.0001,1e-06,256,128,512
50,c050_lr0p0001_wd1em06_dim256_emb128_batch1024_seed0,0.0001,1e-06,256,128,1024
51,c051_lr0p0001_wd1em06_dim256_emb128_batch2048_seed0,0.0001,1e-06,256,128,2048
52,c052_lr0p0001_wd1em06_dim256_emb256_batch512_seed0,0.0001,1e-06,256,256,512
53,c053_lr0p0001_wd1em06_dim256_emb256_batch1024_seed0,0.0001,1e-06,256,256,1024
54,c054_lr0p0001_wd1em06_dim256_emb256_batch2048_seed0,0.0001,1e-06,256,256,2048
55,c055_lr0p0001_wd1em05_dim64_emb64_batch512_seed0,0.0001,1e-05,64,64,512
